Logged started on,27/07/2020 15:59:12
Feature,Magnetometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
27/07/2020 16:15:00.824,948415,AM1V310 @394D30,127940,59FED5FEF7FE,-423,-299,-265
27/07/2020 16:15:00.876,948457,AM1V310 @394D30,127947,1DFE23FF04FF,-483,-221,-252
27/07/2020 16:15:00.905,948485,AM1V310 @394D30,127953,EAFD5FFFE9FE,-534,-161,-279
27/07/2020 16:15:00.966,948546,AM1V310 @394D30,127959,11FE17FFA4FE,-495,-233,-348
27/07/2020 16:15:01.026,948606,AM1V310 @394D30,127965,B8FE93FE58FE,-328,-365,-424
27/07/2020 16:15:01.055,948635,AM1V310 @394D30,127972,25FF1EFEAAFE,-219,-482,-342
27/07/2020 16:15:01.116,948697,AM1V310 @394D30,127978,6CFF1BFEACFE,-148,-485,-340
27/07/2020 16:15:01.176,948756,AM1V310 @394D30,127984,58FF34FEA7FE,-168,-460,-345
27/07/2020 16:15:01.205,948786,AM1V310 @394D30,127990,16FF70FE7FFE,-234,-400,-385
27/07/2020 16:15:01.265,948845,AM1V310 @394D30,127997,BBFED6FE61FE,-325,-298,-415
27/07/2020 16:15:01.326,948906,AM1V310 @394D30,128003,AFFE0EFF55FE,-337,-242,-427
27/07/2020 16:15:01.355,948936,AM1V310 @394D30,128009,ADFE0FFF4FFE,-339,-241,-433
27/07/2020 16:15:01.417,948997,AM1V310 @394D30,128015,B0FEEBFE59FE,-336,-277,-423
27/07/2020 16:15:01.476,949056,AM1V310 @394D30,128022,A3FEA6FE91FE,-349,-346,-367
27/07/2020 16:15:01.505,949085,AM1V310 @394D30,128028,9DFE40FECEFE,-355,-448,-306
27/07/2020 16:15:01.566,949146,AM1V310 @394D30,128034,D0FEE8FDDDFE,-304,-536,-291
27/07/2020 16:15:01.626,949206,AM1V310 @394D30,128040,55FE24FEDCFE,-427,-476,-292
27/07/2020 16:15:01.655,949235,AM1V310 @394D30,128047,DEFD61FEF1FE,-546,-415,-271
27/07/2020 16:15:01.716,949296,AM1V310 @394D30,128053,C6FD8AFEDCFE,-570,-374,-292
27/07/2020 16:15:01.776,949356,AM1V310 @394D30,128059,C6FD99FED7FE,-570,-359,-297
27/07/2020 16:15:01.806,949386,AM1V310 @394D30,128065,C5FD9AFEE0FE,-571,-358,-288
27/07/2020 16:15:01.866,949446,AM1V310 @394D30,128072,DBFD78FEECFE,-549,-392,-276
27/07/2020 16:15:01.926,949506,AM1V310 @394D30,128078,F3FD51FE1BFF,-525,-431,-229
27/07/2020 16:15:01.955,949535,AM1V310 @394D30,128084,17FE30FE1EFF,-489,-464,-226
27/07/2020 16:15:02.046,949626,AM1V310 @394D30,128090,3BFE13FE27FF,-453,-493,-217
27/07/2020 16:15:02.075,949655,AM1V310 @394D30,128097,56FE04FE2BFF,-426,-508,-213
27/07/2020 16:15:02.136,949716,AM1V310 @394D30,128103,67FEF1FD30FF,-409,-527,-208
27/07/2020 16:15:02.166,949747,AM1V310 @394D30,128109,7AFEF4FD43FF,-390,-524,-189
27/07/2020 16:15:02.226,949806,AM1V310 @394D30,128115,86FEDDFD48FF,-378,-547,-184
27/07/2020 16:15:02.255,949835,AM1V310 @394D30,128122,8CFEE2FD42FF,-372,-542,-190
27/07/2020 16:15:02.316,949897,AM1V310 @394D30,128128,91FEDDFD40FF,-367,-547,-192
27/07/2020 16:15:02.376,949956,AM1V310 @394D30,128134,97FED9FD46FF,-361,-551,-186
27/07/2020 16:15:02.405,949986,AM1V310 @394D30,128140,98FEDAFD4EFF,-360,-550,-178
27/07/2020 16:15:02.466,950046,AM1V310 @394D30,128147,95FEE3FD3CFF,-363,-541,-196
27/07/2020 16:15:02.526,950106,AM1V310 @394D30,128153,9BFED9FD39FF,-357,-551,-199
