Logged started on,27/07/2020 15:59:12
Feature,Magnetometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
27/07/2020 16:22:19.961,1387552,AM1V310 @394D30,182834,CDFE76FE75FF,-307,-394,-139
27/07/2020 16:22:19.987,1387567,AM1V310 @394D30,182840,CDFE70FE67FF,-307,-400,-153
27/07/2020 16:22:20.002,1387582,AM1V310 @394D30,182847,B6FE81FE5DFF,-330,-383,-163
27/07/2020 16:22:20.051,1387631,AM1V310 @394D30,182853,94FEB8FE1BFF,-364,-328,-229
27/07/2020 16:22:20.111,1387691,AM1V310 @394D30,182859,4DFE06FFFBFE,-435,-250,-261
27/07/2020 16:22:20.151,1387731,AM1V310 @394D30,182865,2BFE60FFDFFE,-469,-160,-289
27/07/2020 16:22:20.201,1387781,AM1V310 @394D30,182872,53FE57FF86FE,-429,-169,-378
27/07/2020 16:22:20.261,1387841,AM1V310 @394D30,182878,4CFE3EFF7FFE,-436,-194,-385
27/07/2020 16:22:20.291,1387871,AM1V310 @394D30,182884,58FEF1FEA6FE,-424,-271,-346
27/07/2020 16:22:20.350,1387931,AM1V310 @394D30,182890,94FEABFEAAFE,-364,-341,-342
27/07/2020 16:22:20.411,1387991,AM1V310 @394D30,182897,9BFEAEFEA1FE,-357,-338,-351
27/07/2020 16:22:20.441,1388022,AM1V310 @394D30,182903,80FEEEFE95FE,-384,-274,-363
27/07/2020 16:22:20.500,1388081,AM1V310 @394D30,182909,61FE29FF98FE,-415,-215,-360
27/07/2020 16:22:20.561,1388141,AM1V310 @394D30,182915,5BFE32FF79FE,-421,-206,-391
27/07/2020 16:22:20.591,1388171,AM1V310 @394D30,182922,7DFE05FF74FE,-387,-251,-396
27/07/2020 16:22:20.650,1388230,AM1V310 @394D30,182928,7CFE93FEB8FE,-388,-365,-328
27/07/2020 16:22:20.710,1388290,AM1V310 @394D30,182934,CAFE0DFEF5FE,-310,-499,-267
27/07/2020 16:22:20.740,1388320,AM1V310 @394D30,182940,49FE2BFE0CFF,-439,-469,-244
27/07/2020 16:22:20.800,1388380,AM1V310 @394D30,182947,17FE39FEE2FE,-489,-455,-286
27/07/2020 16:22:20.891,1388471,AM1V310 @394D30,182953,E0FD5AFEEEFE,-544,-422,-274
27/07/2020 16:22:20.923,1388503,AM1V310 @394D30,182959,CFFD76FED9FE,-561,-394,-295
27/07/2020 16:22:20.953,1388533,AM1V310 @394D30,182965,C6FD7BFEDFFE,-570,-389,-289
27/07/2020 16:22:21.010,1388590,AM1V310 @394D30,182972,D7FD6CFEEFFE,-553,-404,-273
27/07/2020 16:22:21.070,1388650,AM1V310 @394D30,182978,ECFD51FE03FF,-532,-431,-253
27/07/2020 16:22:21.101,1388681,AM1V310 @394D30,182984,0AFE43FE00FF,-502,-445,-256
27/07/2020 16:22:21.161,1388741,AM1V310 @394D30,182990,1CFE30FE1CFF,-484,-464,-228
27/07/2020 16:22:21.190,1388771,AM1V310 @394D30,182997,26FE22FE2AFF,-474,-478,-214
27/07/2020 16:22:21.251,1388831,AM1V310 @394D30,183003,37FE10FE1FFF,-457,-496,-225
27/07/2020 16:22:21.310,1388890,AM1V310 @394D30,183009,41FE13FE1FFF,-447,-493,-225
27/07/2020 16:22:21.340,1388921,AM1V310 @394D30,183015,5CFE0AFE1CFF,-420,-502,-228
27/07/2020 16:22:21.400,1388980,AM1V310 @394D30,183022,61FE06FE18FF,-415,-506,-232
27/07/2020 16:22:21.461,1389041,AM1V310 @394D30,183028,58FE0CFE16FF,-424,-500,-234
27/07/2020 16:22:21.491,1389071,AM1V310 @394D30,183034,52FE09FE2AFF,-430,-503,-214
27/07/2020 16:22:21.551,1389131,AM1V310 @394D30,183040,5BFE0AFE22FF,-421,-502,-222
