Logged started on,24/07/2020 16:18:15
Feature,Magnetometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 16:20:40.286,145063,AM1V310 @394D30,82987,6EFEDEFE39FF,-402,-290,-199
24/07/2020 16:20:40.377,145143,AM1V310 @394D30,82993,6EFED8FE45FF,-402,-296,-187
24/07/2020 16:20:40.403,145168,AM1V310 @394D30,82999,70FEDFFE46FF,-400,-289,-186
24/07/2020 16:20:40.436,145201,AM1V310 @394D30,83005,6EFED8FE3DFF,-402,-296,-195
24/07/2020 16:20:40.496,145261,AM1V310 @394D30,83012,6BFEDBFE3FFF,-405,-293,-193
24/07/2020 16:20:40.528,145294,AM1V310 @394D30,83018,79FED9FE4CFF,-391,-295,-180
24/07/2020 16:20:40.586,145351,AM1V310 @394D30,83024,73FED8FE45FF,-397,-296,-187
24/07/2020 16:20:40.645,145411,AM1V310 @394D30,83030,6BFEDCFE4CFF,-405,-292,-180
24/07/2020 16:20:40.675,145440,AM1V310 @394D30,83037,70FEDBFE49FF,-400,-293,-183
24/07/2020 16:20:40.735,145501,AM1V310 @394D30,83043,65FEDEFE57FF,-411,-290,-169
24/07/2020 16:20:40.796,145562,AM1V310 @394D30,83049,68FED9FE54FF,-408,-295,-172
24/07/2020 16:20:40.828,145594,AM1V310 @394D30,83055,5CFEE5FE60FF,-420,-283,-160
24/07/2020 16:20:40.912,145677,AM1V310 @394D30,83062,43FEF6FE73FF,-445,-266,-141
24/07/2020 16:20:40.946,145711,AM1V310 @394D30,83068,1FFEF6FE8AFF,-481,-266,-118
24/07/2020 16:20:40.975,145740,AM1V310 @394D30,83074,3EFEB5FE45FF,-450,-331,-187
24/07/2020 16:20:41.096,145862,AM1V310 @394D30,83080,83FE9AFE34FF,-381,-358,-204
24/07/2020 16:20:41.122,145887,AM1V310 @394D30,83087,AAFE4FFE07FF,-342,-433,-249
24/07/2020 16:20:41.136,145901,AM1V310 @394D30,83093,33FFD9FDE5FE,-205,-551,-283
24/07/2020 16:20:41.186,145952,AM1V310 @394D30,83099,EAFFB0FDE6FE,-22,-592,-282
24/07/2020 16:20:41.246,146011,AM1V310 @394D30,83105,7C00DAFDC5FE,124,-550,-315
24/07/2020 16:20:41.275,146040,AM1V310 @394D30,83112,E700FDFDCEFE,231,-515,-306
24/07/2020 16:20:41.336,146101,AM1V310 @394D30,83118,F60012FEBFFE,246,-494,-321
24/07/2020 16:20:41.396,146161,AM1V310 @394D30,83124,EB0013FEA9FE,235,-493,-343
24/07/2020 16:20:41.426,146192,AM1V310 @394D30,83130,D3001CFE92FE,211,-484,-366
24/07/2020 16:20:41.485,146251,AM1V310 @394D30,83137,C0000DFE7CFE,192,-499,-388
24/07/2020 16:20:41.546,146311,AM1V310 @394D30,83143,7C00EBFD74FE,124,-533,-396
24/07/2020 16:20:41.575,146340,AM1V310 @394D30,83149,0600BEFD7DFE,6,-578,-387
24/07/2020 16:20:41.666,146432,AM1V310 @394D30,83155,97FFA3FD79FE,-105,-605,-391
