Logged started on,27/07/2020 15:59:12
Feature,Magnetometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
27/07/2020 16:14:29.226,916816,AM1V310 @394D30,123990,0AFE61FEE3FE,-502,-415,-285
27/07/2020 16:14:29.286,916866,AM1V310 @394D30,123997,02FE48FE06FF,-510,-440,-250
27/07/2020 16:14:29.316,916896,AM1V310 @394D30,124003,FEFD46FE03FF,-514,-442,-253
27/07/2020 16:14:29.376,916956,AM1V310 @394D30,124009,ECFD5DFE0FFF,-532,-419,-241
27/07/2020 16:14:29.436,917016,AM1V310 @394D30,124015,D1FD8BFE06FF,-559,-373,-250
27/07/2020 16:14:29.466,917046,AM1V310 @394D30,124022,D5FDA9FE07FF,-555,-343,-249
27/07/2020 16:14:29.526,917106,AM1V310 @394D30,124028,17FE87FED4FE,-489,-377,-300
27/07/2020 16:14:29.586,917166,AM1V310 @394D30,124034,7CFE3FFED9FE,-388,-449,-295
27/07/2020 16:14:29.615,917195,AM1V310 @394D30,124040,D0FE12FE1EFF,-304,-494,-226
27/07/2020 16:14:29.676,917256,AM1V310 @394D30,124047,16FFF1FD30FF,-234,-527,-208
27/07/2020 16:14:29.736,917316,AM1V310 @394D30,124053,25FFFBFD33FF,-219,-517,-205
27/07/2020 16:14:29.766,917346,AM1V310 @394D30,124059,07FF19FE15FF,-249,-487,-235
27/07/2020 16:14:29.826,917406,AM1V310 @394D30,124065,B5FE6AFEDFFE,-331,-406,-289
27/07/2020 16:14:29.887,917467,AM1V310 @394D30,124072,88FEE7FE77FE,-376,-281,-393
27/07/2020 16:14:29.916,917496,AM1V310 @394D30,124078,85FE56FF3AFE,-379,-170,-454
27/07/2020 16:14:29.976,917556,AM1V310 @394D30,124084,85FE78FF38FE,-379,-136,-456
27/07/2020 16:14:30.036,917616,AM1V310 @394D30,124090,56FE1DFF6AFE,-426,-227,-406
27/07/2020 16:14:30.066,917646,AM1V310 @394D30,124097,6EFE67FED1FE,-402,-409,-303
27/07/2020 16:14:30.127,917707,AM1V310 @394D30,124103,D3FEEBFDCEFE,-301,-533,-306
27/07/2020 16:14:30.185,917765,AM1V310 @394D30,124109,80FE0AFEC5FE,-384,-502,-315
27/07/2020 16:14:30.216,917796,AM1V310 @394D30,124115,71FE24FE9AFE,-399,-476,-358
27/07/2020 16:14:30.276,917856,AM1V310 @394D30,124122,47FE43FE94FE,-441,-445,-364
27/07/2020 16:14:30.336,917916,AM1V310 @394D30,124128,43FE55FE77FE,-445,-427,-393
27/07/2020 16:14:30.366,917947,AM1V310 @394D30,124134,46FE54FE89FE,-442,-428,-375
27/07/2020 16:14:30.426,918006,AM1V310 @394D30,124140,58FE36FE9EFE,-424,-458,-354
27/07/2020 16:14:30.486,918066,AM1V310 @394D30,124147,73FE1BFEBBFE,-397,-485,-325
27/07/2020 16:14:30.515,918095,AM1V310 @394D30,124153,97FEEFFDDDFE,-361,-529,-291
27/07/2020 16:14:30.576,918156,AM1V310 @394D30,124159,B2FED4FD07FF,-334,-556,-249
27/07/2020 16:14:30.636,918216,AM1V310 @394D30,124165,BBFEBCFD1EFF,-325,-580,-226
27/07/2020 16:14:30.665,918245,AM1V310 @394D30,124172,DAFEB0FD2BFF,-294,-592,-213
27/07/2020 16:14:30.726,918306,AM1V310 @394D30,124178,E6FEA9FD33FF,-282,-599,-205
27/07/2020 16:14:30.786,918366,AM1V310 @394D30,124184,F4FEA3FD42FF,-268,-605,-190
27/07/2020 16:14:30.816,918396,AM1V310 @394D30,124190,06FF92FD4CFF,-250,-622,-180
27/07/2020 16:14:30.876,918456,AM1V310 @394D30,124197,10FF8FFD64FF,-240,-625,-156
27/07/2020 16:14:30.936,918516,AM1V310 @394D30,124203,15FF86FD5BFF,-235,-634,-165
27/07/2020 16:14:30.965,918545,AM1V310 @394D30,124209,24FF8EFD58FF,-220,-626,-168
