Std_X,Std_Z,Type
256.2410855564062,430.3884524159651,Glissade
398.96795915515867,371.2944708504075,Glissade
359.516530516033,264.22888106204744,Glissade
383.40327785144245,293.82224405134093,Glissade
361.7051716601156,385.1782348554796,Glissade
297.3836689304686,421.7951821390041,Glissade
329.56293752421584,287.9746628143426,Glissade
489.1060939526813,439.598314508135,Glissade
415.2126525063353,301.73925908204336,Glissade
280.42835325762303,246.7146325951808,Glissade
