Mean_Z,Std_Z,Type
-106.65957446808511,308.7938862733766,Glissade
-172.11111111111111,517.7606160722884,Pas-de-chat
-120.55,518.9667224151842,Jete
-5.173333333333333,302.98614602764377,Glissade
-183.83333333333334,554.577636233133,Pas-de-chat
-106.83333333333333,345.39930350507154,Jete
-24.82089552238806,223.78012242628978,Glissade
27.818181818181817,617.7723313722386,Pas-de-chat
147.18965517241378,431.702929733202,Jete
75.57142857142857,418.69322517413957,Glissade
-43.1025641025641,537.8861058699968,Pas-de-chat
-95.14893617021276,399.48597291168,Jete
-15.254901960784315,204.89498218719316,Glissade
-21.65,705.885388750385,Pas-de-chat
-148.8,387.7707617089814,Jete
-20.6,353.4207124660353,Glissade
112.8,646.6060624522476,Pas-de-chat
128.74468085106383,383.29506559313813,Jete
27.19402985074627,209.34271153519578,Glissade
-109.02325581395348,514.2020396123767,Pas-de-chat
47.148936170212764,405.1278369753452,Jete
1.346938775510204,283.8509402706234,Glissade
-122.24137931034483,710.0547592149101,Pas-de-chat
110.53846153846153,300.7644511253429,Jete
70.40350877192982,368.28448144495985,Glissade
-278.9,932.3859031612357,Pas-de-chat
-100.03846153846153,448.4143725083939,Jete
53.67567567567568,365.23592482227264,Glissade
-180.41176470588235,687.1719434445773,Pas-de-chat
-95.94285714285714,451.06161981923225,Jete
-28.761904761904763,364.0254486898468,Glissade
-183.5,521.9617569875936,Pas-de-chat
18.12121212121212,567.8369460932292,Jete
-15.588235294117647,394.85811003298835,Glissade
-158.2058823529412,739.1820532474644,Pas-de-chat
-110.53488372093024,516.4686109872556,Jete
-22.67241379310345,359.0062985290719,Glissade
-122.54347826086956,453.04945555506845,Pas-de-chat
-68.95348837209302,439.9629288218969,Jete
-42.03448275862069,301.76009790032793,Glissade
-140.45,474.6313522227756,Pas-de-chat
-101.01886792452831,506.25235006353074,Jete
-2.0350877192982457,364.2294687277847,Glissade
-45.75609756097561,538.0634618931026,Pas-de-chat
6.615384615384615,478.6830956623333,Jete
-0.1875,267.29915158146355,Glissade
74.22222222222223,527.8842465709482,Pas-de-chat
62.94871794871795,379.2745810455275,Jete
37.98076923076923,316.5443617508602,Glissade
-28.390243902439025,424.3959164535387,Pas-de-chat
78.97142857142858,474.65916475833023,Jete
100.97674418604652,560.7842080673445,Glissade
-10.295454545454545,521.9542250064791,Pas-de-chat
-133.1860465116279,234.76322984313094,Jete
40.22666666666667,272.16129822635,Glissade
-97.02631578947368,90.42556647622526,Pas-de-chat
-190.6153846153846,429.65381507641314,Jete
0.5849056603773585,344.23339767586714,Glissade
-83.42857142857143,448.8359026776574,Pas-de-chat
26.235294117647058,408.1329298323614,Jete
-59.981818181818184,224.15251842250512,Glissade
-14.833333333333334,656.140523195193,Pas-de-chat
34.8780487804878,334.68994570512206,Jete
-20.20689655172414,211.05198150922814,Glissade
-106.0,530.7470318001843,Pas-de-chat
-117.75862068965517,347.35493300913896,Jete
51.905660377358494,268.680698696351,Glissade
-132.825,594.7747639836401,Pas-de-chat
-112.48571428571428,472.97353311280546,Jete
-59.61363636363637,248.96093052124513,Glissade
-90.96774193548387,645.0393002947426,Pas-de-chat
87.52777777777777,463.3628313665906,Jete
36.55,164.63083902445112,Glissade
19.647058823529413,753.7330080441815,Pas-de-chat
53.13636363636363,533.4704974693448,Jete
22.404761904761905,284.60730836851536,Glissade
10.82857142857143,742.4965234901495,Pas-de-chat
-64.82051282051282,438.2202565518413,Jete
80.27083333333333,343.05738863514233,Glissade
-98.54054054054055,551.1676289979803,Pas-de-chat
11.13888888888889,464.8385988876924,Jete
64.06,200.69393999575675,Glissade
7.361111111111111,726.1716897648055,Pas-de-chat
30.65714285714286,476.73978244747656,Jete
91.38775510204081,365.69459117357127,Glissade
-78.74,493.9739648596712,Pas-de-chat
-72.42,413.2385825675636,Jete
39.12820512820513,228.72704710696678,Glissade
7.628571428571429,615.5746758213863,Pas-de-chat
-54.58139534883721,289.11714815955037,Jete
40.297872340425535,352.291993201145,Glissade
24.708333333333332,517.7590813419469,Pas-de-chat
-44.475,539.1825240405789,Jete
4.113636363636363,276.38953097572454,Glissade
-19.214285714285715,538.023597982526,Pas-de-chat
-81.11627906976744,337.3694604197604,Jete
61.68518518518518,468.04111350107223,Glissade
-130.88372093023256,556.0140546914228,Pas-de-chat
61.8421052631579,425.06015639860937,Jete
57.21739130434783,238.01427716686598,Glissade
-68.1219512195122,591.0056765853417,Pas-de-chat
-64.3170731707317,361.8314137153095,Jete
67.0576923076923,255.03074889284366,Glissade
-127.6056338028169,329.2359327235991,Pas-de-chat
-124.65,380.328302849943,Jete
1.3902439024390243,350.085552261785,Glissade
-64.08108108108108,418.52474892826285,Pas-de-chat
40.2093023255814,432.0963604027592,Jete
20.795454545454547,267.70997666647634,Glissade
30.5,596.6441124906011,Pas-de-chat
-146.3170731707317,322.70810642315683,Jete
66.28947368421052,360.4720559619639,Glissade
180.72727272727272,968.7302989199081,Pas-de-chat
-81.72340425531915,512.0186690774187,Jete
81.53191489361703,394.80572278261826,Glissade
-13.03448275862069,584.3750314138186,Pas-de-chat
10.117647058823529,507.3591618105303,Jete
100.28260869565217,295.01048290553103,Glissade
70.91891891891892,602.223674687698,Pas-de-chat
60.55813953488372,400.7484843761604,Jete
