Mean_X,Mean_Y,Mean_Z,Std_X,Std_Y,Std_Z,Type
975.0851063829788,260.2340425531915,-106.65957446808511,379.17650070435735,660.5220008436661,308.7938862733766,Glissade
1003.0666666666667,267.4,-5.173333333333333,308.2952837491712,531.96075348022,302.98614602764377,Glissade
979.6567164179105,222.43283582089552,-24.82089552238806,293.2126414364593,541.9946389056283,223.78012242628978,Glissade
984.9428571428572,279.22857142857146,75.57142857142857,345.5112105831813,289.36127283810356,418.69322517413957,Glissade
968.4117647058823,127.66666666666667,-15.254901960784315,421.58444831234414,613.8719627631372,204.89498218719316,Glissade
1042.2,144.62222222222223,-20.6,392.0667035084719,754.5887588279428,353.4207124660353,Glissade
975.8358208955224,228.88059701492537,27.19402985074627,289.45359166492483,534.7762920106013,209.34271153519578,Glissade
1044.4489795918366,209.46938775510205,1.346938775510204,356.5312083829695,505.8638281049891,283.8509402706234,Glissade
1000.8070175438596,210.49122807017545,70.40350877192982,365.3467745364128,589.2752547108495,368.28448144495985,Glissade
949.3513513513514,319.6216216216216,53.67567567567568,277.68149382343074,376.56926110399445,365.23592482227264,Glissade
1004.9761904761905,68.14285714285714,-28.761904761904763,419.9014105015976,665.141487659785,364.0254486898468,Glissade
1026.0,266.4117647058824,-15.588235294117647,365.89359108899407,613.8313506646787,394.85811003298835,Glissade
961.3965517241379,256.2413793103448,-22.67241379310345,442.30682926671034,546.0933121968573,359.0062985290719,Glissade
977.9655172413793,266.08620689655174,-42.03448275862069,316.4273129869066,488.4865738061474,301.76009790032793,Glissade
918.3859649122807,262.43859649122805,-2.0350877192982457,374.64253221218206,493.0529896740982,364.2294687277847,Glissade
1029.6666666666667,156.54166666666666,-0.1875,369.7929457075073,564.9722252006969,267.29915158146355,Glissade
1048.7307692307693,204.55769230769232,37.98076923076923,342.60525020212896,584.0818977446584,316.5443617508602,Glissade
1018.4883720930233,151.62790697674419,100.97674418604652,411.88205501396266,723.1065923946223,560.7842080673445,Glissade
904.92,318.50666666666666,40.22666666666667,340.5317288864261,440.74235206172415,272.16129822635,Glissade
1012.6603773584906,140.1320754716981,0.5849056603773585,390.14661659216836,575.2747851022639,344.23339767586714,Glissade
1030.581818181818,182.2,-59.981818181818184,304.1406041137997,476.8345625056976,224.15251842250512,Glissade
1002.3965517241379,217.63793103448276,-20.20689655172414,342.59294754445693,502.5842932974811,211.05198150922814,Glissade
993.5283018867924,248.37735849056602,51.905660377358494,387.0198565654056,506.11910373923985,268.680698696351,Glissade
1014.4772727272727,54.0,-59.61363636363637,367.6342019565141,733.7023983212305,248.96093052124513,Glissade
988.8333333333334,172.9047619047619,22.404761904761905,583.0348655711293,732.7184868367805,284.60730836851536,Glissade
1042.0625,234.83333333333334,80.27083333333333,359.0489450573675,593.1184207162243,343.05738863514233,Glissade
952.14,174.24,64.06,323.97171771244325,590.3625160934282,200.69393999575675,Glissade
1008.2857142857143,274.7142857142857,91.38775510204081,370.7137822273854,587.1132060060194,365.69459117357127,Glissade
1056.3333333333333,308.05128205128204,39.12820512820513,455.08670853003576,614.8870220882236,228.72704710696678,Glissade
996.8723404255319,227.93617021276594,40.297872340425535,341.36813082075406,472.1957683665482,352.291993201145,Glissade
963.7954545454545,168.79545454545453,4.113636363636363,464.68161540972187,690.510514866826,276.38953097572454,Glissade
1016.2222222222222,134.05555555555554,61.68518518518518,406.26985486072357,556.1039476832824,468.04111350107223,Glissade
1013.0434782608696,276.0217391304348,57.21739130434783,389.0975859613706,694.5017875068729,238.01427716686598,Glissade
1055.1538461538462,249.32692307692307,67.0576923076923,360.8136439648473,599.3868671532912,255.03074889284366,Glissade
1037.2926829268292,216.82926829268294,1.3902439024390243,367.0173867749618,576.1126583594142,350.085552261785,Glissade
1031.840909090909,152.27272727272728,20.795454545454547,371.11954716442307,595.2304757309564,267.70997666647634,Glissade
997.3684210526316,85.63157894736842,66.28947368421052,471.7324265079317,723.2168909865494,360.4720559619639,Glissade
1000.0212765957447,198.48936170212767,81.53191489361703,397.67325944372436,508.05031727612,394.80572278261826,Glissade
1009.8913043478261,220.19565217391303,100.28260869565217,383.80401412184136,646.6206382094946,295.01048290553103,Glissade
946.2444444444444,181.9777777777778,-172.11111111111111,634.5989483544116,903.8174214481215,517.7606160722884,Pas-de-chat
895.75,84.0625,-183.83333333333334,812.3114249250898,954.3825542414454,554.577636233133,Pas-de-chat
797.3636363636364,118.96969696969697,27.818181818181817,942.3476275432349,987.1729042082903,617.7723313722386,Pas-de-chat
858.4871794871794,83.94871794871794,-43.1025641025641,860.9513976072259,995.9142308430388,537.8861058699968,Pas-de-chat
721.925,144.05,-21.65,951.2159933609411,1085.8142861938059,705.885388750385,Pas-de-chat
849.9142857142857,177.88571428571427,112.8,971.2890274217638,1113.1865699404561,646.6060624522476,Pas-de-chat
817.953488372093,168.46511627906978,-109.02325581395348,789.2811061034132,949.091679771399,514.2020396123767,Pas-de-chat
767.3103448275862,19.93103448275862,-122.24137931034483,773.7599343210987,925.4414364057559,710.0547592149101,Pas-de-chat
821.6666666666666,134.16666666666666,-278.9,809.455344057341,1095.2149240605966,932.3859031612357,Pas-de-chat
731.8529411764706,149.44117647058823,-180.41176470588235,802.4352756813188,1170.634771891819,687.1719434445773,Pas-de-chat
703.8235294117648,238.05882352941177,-183.5,1052.0171524868592,933.3235802902692,521.9617569875936,Pas-de-chat
852.3235294117648,196.55882352941177,-158.2058823529412,747.168826834489,1055.2530126360034,739.1820532474644,Pas-de-chat
