Mean_Z,Std_Z,Type
-149.425,408.5381623890296,Jete
-108.47222222222223,330.87127286355525,Jete
-57.1219512195122,334.33308205455467,Jete
-94.60606060606061,471.46294521639896,Jete
-17.242424242424242,500.9922672995457,Jete
-65.26470588235294,392.5818431423725,Jete
-28.22222222222222,458.60712483507587,Jete
-59.8235294117647,528.1427992496792,Jete
-42.861111111111114,412.4061903912401,Jete
-66.13513513513513,309.2732666323642,Jete
-67.07317073170732,422.0927854301648,Jete
