Mean_Z,Std_Z,Type
-41.484848484848484,392.5689526385875,Jete
46.93333333333333,328.44638814433245,Jete
-25.886363636363637,422.0478985221161,Jete
116.84848484848484,287.11148980101365,Jete
-15.242424242424242,527.0605414882995,Jete
3.121212121212121,477.8389345255207,Jete
-79.8529411764706,539.735857526789,Jete
-19.91891891891892,260.4566906180137,Jete
83.49056603773585,364.12564519161776,Jete
90.7948717948718,364.9176676779788,Jete
-82.04761904761905,403.1759255528687,Jete
36.81578947368421,398.78490139647005,Jete
51.11764705882353,232.88750889722812,Jete
