Mean_Z,Std_Z,Type
-147.89743589743588,582.2615976956982,Pas-de-chat
-129.60526315789474,433.2497275914169,Pas-de-chat
-83.59375,569.2594997223969,Pas-de-chat
-88.87179487179488,495.3349307864528,Pas-de-chat
-57.294117647058826,337.26219720170104,Pas-de-chat
-76.28571428571429,435.9291330700823,Pas-de-chat
-129.9189189189189,447.54834489809144,Pas-de-chat
-169.89583333333334,392.48207654337716,Pas-de-chat
-50.1764705882353,481.0782378623477,Pas-de-chat
-88.65714285714286,449.15429962758856,Pas-de-chat
