Mean_Z,Std_Z,Type
-3.41730769230769,114.57966099695867,Glissade
-0.8790697674418619,141.7086877031279,Glissade
0.868750000000007,115.35616291212408,Glissade
4.12982456140351,105.11884085050781,Glissade
-1.6620689655172447,97.58588988381574,Glissade
-1.0345454545454542,105.55597289656998,Glissade
-1.339622641509436,103.45426403009549,Glissade
4.500000000000003,98.22250251342611,Glissade
2.6239999999999957,111.82345152160205,Glissade
-0.10833333333333948,127.72758550638454,Glissade
10.761538461538457,148.3258745490103,Glissade
-1.3693877551020421,138.4434258763028,Glissade
12.690909090909093,118.87870859533204,Glissade
-2.456603773584907,117.60757679253946,Glissade
-1.6833333333333371,142.3116006046825,Glissade
6.839024390243906,133.1827595412574,Glissade
0.04423076923077025,125.32430153126187,Glissade
4.70909090909091,127.87736279511478,Glissade
-5.742105263157889,130.97200367559256,Glissade
-0.11086956521739338,124.64327450459189,Glissade
2.097872340425539,128.275034829822,Glissade
6.620454545454544,131.04288412141406,Glissade
-3.0510638297872337,122.17511287232519,Glissade
-3.9434782608695587,141.60276621932985,Glissade
1.068518518518517,123.86842658007805,Glissade
1.9705882352941204,119.68665304722605,Glissade
-6.131111111111116,123.65772192596464,Glissade
-0.7744680851063813,132.58482185425282,Glissade
4.072,107.09081970395438,Glissade
0.09104477611940508,100.52798604963164,Glissade
-33.085714285714296,92.03539965641464,Glissade
0.5192982456140407,121.27666192664681,Glissade
-41.943243243243266,73.5624660503671,Glissade
6.116666666666666,145.0327346004724,Glissade
6.131372549019606,121.98527368530364,Glissade
-1.4164179104477617,95.13255122262694,Glissade
0.5551020408163252,122.06864711646283,Glissade
-3.4948275862068967,109.87446812024437,Glissade
-8.313793103448276,131.32865622842357,Glissade
7.324137931034482,150.4489582529865,Pas-de-chat
17.806976744186045,111.95695685512958,Pas-de-chat
15.952941176470588,150.28615177497147,Pas-de-chat
22.49333333333334,188.1371013902899,Pas-de-chat
14.450000000000001,145.95637839416062,Pas-de-chat
7.302941176470594,146.35178350994525,Pas-de-chat
0.908888888888889,145.9663003171719,Pas-de-chat
-1.8869565217391264,112.75649596206202,Pas-de-chat
2.717500000000004,123.42076434098443,Pas-de-chat
12.685416666666663,153.71217644369213,Pas-de-chat
12.705128205128206,159.27271373788574,Pas-de-chat
10.927272727272728,156.53163073466825,Pas-de-chat
12.13714285714286,186.42935909553816,Pas-de-chat
-7.110000000000002,147.9247795680508,Pas-de-chat
-1.5750000000000024,114.87225295953762,Pas-de-chat
4.739534883720933,142.60422778000273,Pas-de-chat
-3.8187500000000045,144.62009315128068,Pas-de-chat
12.449999999999998,132.31778312723998,Pas-de-chat
20.513636363636365,119.47186414111509,Pas-de-chat
9.736619718309864,86.2689121947623,Pas-de-chat
15.216216216216214,117.79817371135144,Pas-de-chat
-2.409756097560981,167.98091826882904,Pas-de-chat
-3.9588235294117635,144.73559616961535,Pas-de-chat
7.509090909090907,149.82900120561683,Pas-de-chat
13.990243902439024,127.83317801900658,Pas-de-chat
5.2195121951219505,109.89892451592098,Pas-de-chat
18.031034482758628,122.39971727163972,Pas-de-chat
2.5135135135135114,153.82362403841714,Pas-de-chat
12.889999999999997,124.59713912013822,Pas-de-chat
26.470967741935485,136.44788796105368,Pas-de-chat
15.528571428571425,120.7394924704291,Pas-de-chat
-1.367647058823528,188.85611922851075,Pas-de-chat
-7.094285714285709,149.14887734557502,Pas-de-chat
-7.467567567567565,148.34714927054276,Pas-de-chat
5.1972222222222255,142.4952440030616,Pas-de-chat
-1.3410714285714274,84.99221520882894,Pas-de-chat
3.6404761904761926,127.699869281068,Pas-de-chat
10.451999999999998,127.34261392970143,Pas-de-chat
-2.962857142857148,155.90934599332795,Pas-de-chat
-2.551282051282045,147.57314131571087,Jete
7.153191489361711,148.4545631718658,Jete
12.183720930232546,143.19860987991228,Jete
17.942424242424252,163.83385072670242,Jete
11.47674418604652,142.77450558937383,Jete
10.532075471698116,137.64594181279975,Jete
15.98499999999999,126.72536335694097,Jete
3.2619047619047605,138.89623948338146,Jete
8.008510638297867,139.76901881907386,Jete
12.13448275862069,129.58959178441214,Jete
4.929787234042551,137.73612123706695,Jete
-4.735555555555559,135.4829679928869,Jete
8.321153846153837,133.055395122451,Jete
6.742857142857135,162.77462095452952,Jete
-3.7909090909090906,152.62529556291108,Jete
-15.930769230769233,182.7692565329389,Jete
-6.187179487179479,143.1389170287073,Jete
0.4333333333333413,157.20141008697516,Jete
5.6439024390243935,169.92049765814082,Jete
-7.285106382978725,148.2910753694489,Jete
11.037209302325584,131.816774030607,Jete
9.618604651162798,134.82597293904104,Jete
14.605,152.54921853920814,Jete
6.260526315789472,133.09687904126946,Jete
10.480487804878058,135.9019245991612,Jete
-1.7775000000000034,152.27705601456032,Jete
5.88837209302326,148.9448127412463,Jete
9.611764705882354,157.26152463372844,Jete
6.78604651162791,126.29053914230836,Jete
8.96153846153846,157.34204881050277,Jete
18.87428571428573,188.85413347632195,Jete
10.511764705882353,172.76615087366085,Jete
8.509756097560965,141.62579532853127,Jete
8.882857142857139,168.2555942356647,Jete
8.530555555555559,156.20173187158503,Jete
7.653448275862069,140.27917054807236,Jete
8.791999999999993,138.89029710016257,Jete
8.969444444444447,175.2320760256351,Jete
0.022857142857145,147.1987593572124,Jete
